"","x"
"976",59072
"977",25278
"978",121737
"979",67495
"980",126742
"981",59650
"982",238142
"983",289979
"984",126536
"985",11980
"986",140288
"987",126628
"988",67608
"989",126521
"990",27001
"991",22984
"992",28351
"993",21197
"994",7925
"995",28319
"996",20762
"997",46902
"998",18203
"999",26538
"1000",39207
"1001",15216
"1002",8620
"1003",18939
"1004",45270
"1005",25278
"1006",16825
"1007",23452
"1008",25278
"1009",55000
"1010",80640
"1011",23761
"1012",6250
"1013",22839
"1014",92300
"1015",39973
"1016",9748
"1017",19070
"1018",10257
"1019",13784
"1020",22523
"1021",8604
"1022",35701
"1023",94860
"1024",25415
"1025",54065
"1026",17792
"1027",37804
"1028",55371
"1029",54547
"1030",53580
"1031",21844
"1032",73568
"1033",173359
"1034",73387
"1035",22543
"1036",95393
"1037",152417
"1038",171110
"1039",171110
"1040",39686
"1041",165052
"1042",55313
"1043",55484
"1044",22136
"1045",17040
"1046",49271
"1047",32679
"1048",42653
"1049",21695
"1050",31820
"1051",31828
"1052",18412
"1053",18457
"1054",9591
"1055",10885
"1056",13003
"1057",10602
"1058",65634
"1059",34230
"1060",57472
"1061",103923
"1062",14323
"1063",23850
"1064",21467
"1065",49521
"1066",27776
"1067",38681
"1068",24525
"1069",71034
"1070",5221
"1071",25683
"1072",17888
"1073",22506
"1074",23166
"1075",15425
"1076",45345
"1077",34737
"1078",43676
"1079",12606
"1080",11905
"1081",30142
"1082",31504
"1083",16640
"1084",25860
"1085",41223
"1086",22172
"1087",15538
"1088",21386
"1089",181481
"1090",105464
"1091",201176
"1092",48812
"1093",54908
"1094",30320
"1095",33403
"1096",32194
"1097",42122
"1098",32011
"1099",1484674
"1100",148301
"1101",9521
"1102",20781
"1103",27381
"1104",39724
"1105",14656
"1106",21338
"1107",18688
"1108",18428
"1109",14717
"1110",13535
"1111",18153
"1112",16268
"1113",16006
"1114",47999
"1115",12218
"1116",39598
"1117",22174
"1118",107957
"1119",165563
"1120",20541
